parameters_id,expectation_value/+/X,expectation_value/-/X,expectation_value/r/X,expectation_value/l/X,expectation_value/0/X,expectation_value/1/X,expectation_value/+/Y,expectation_value/-/Y,expectation_value/r/Y,expectation_value/l/Y,expectation_value/0/Y,expectation_value/1/Y,expectation_value/+/Z,expectation_value/-/Z,expectation_value/r/Z,expectation_value/l/Z,expectation_value/0/Z,expectation_value/1/Z,circuit_idx,job_id,expectation_value,initial_state,observable,parameter/0/0/0/amp,parameter/0/0/0/sigma,parameter/0/1/0/amp,parameter/0/1/0/sigma,parameter/0/1/1/amp,parameter/0/1/1/sigma,parameter/0/2/0/amp,parameter/0/2/0/sigma,parameter/0/2/1/amp,parameter/0/2/1/sigma,parameter/0/2/2/amp,parameter/0/2/2/sigma,parameter/0/3/0/amp,parameter/0/3/0/sigma,parameter/0/3/1/amp,parameter/0/3/1/sigma,parameter/0/3/2/amp,parameter/0/3/2/sigma,parameter/0/3/3/amp,parameter/0/3/3/sigma,parameter/0/beta,job_idx,unique_id,counts/00,counts/01,counts/10,counts/11,created,running,finished
273,0.9713333333,-0.9693333333,0.128,-0.1113333333,-0.1353333333,0.13,-0.1033333333,0.1406666667,-0.196,0.166,-0.9606666667,0.952,-0.1453333333,0.1566666667,0.9573333333,-0.9553333333,-0.1766666667,0.11,114,cvkgv8nkmd100082x43g,0.9713333333,+,X,0.9152271586,7.5568796328,0.5904527137,5.24400946,0.0325603315,6.4240550233,0.1832769328,4.9773647092,0.3876003573,3.6414703579,0.376240418,4.0703338127,0.8768359812,1.2454764344,0.8634362962,1.536850891,0.1587807165,1.219341404,0.360733538,2.029524429,-1.9808678794,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
274,0.9826666667,-0.9806666667,-0.0326666667,-0.022,-0.0133333333,-0.004,0.0093333333,0.004,0.4386666667,-0.448,-0.8826666667,0.8593333333,0.006,0.034,0.872,-0.888,0.48,-0.442,132,cvkgv8nkmd100082x43g,0.9826666667,+,X,0.2776558659,7.0810750165,0.6889244378,5.8540521018,0.3414194276,6.2009706667,0.0289714269,3.0790674479,0.2942306753,3.64483675,0.4295286049,3.422396617,0.833965662,1.2375520972,0.0416621114,2.6489538293,0.7363120962,2.7042661444,0.2584828602,1.0962135775,0.4067179513,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
275,0.9833333333,-0.9853333333,0.012,-0.0513333333,-0.022,-0.0253333333,-0.0353333333,0.0386666667,0.562,-0.5573333333,-0.7806666667,0.7746666667,-0.0273333333,0.0113333333,0.788,-0.798,0.5706666667,-0.5566666667,150,cvkgv8nkmd100082x43g,0.9833333333,+,X,4.0317e-06,7.36219632,0.6225794071,5.1906042074,0.5075786842,6.4672831572,0.4192866621,4.9692652329,0.3158970028,4.411913723,0.9438817572,3.2781400876,0.6178238705,1.877186611,0.594213595,2.5837927044,0.3141453133,2.0063525701,0.5421743092,1.3460640448,-1.1182489007,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
276,0.9806666667,-0.9813333333,-0.0126666667,0.032,0.0113333333,-0.0113333333,0.042,-0.0653333333,0.1906666667,-0.1753333333,-0.974,0.9533333333,-0.0006666667,0.0073333333,0.9646666667,-0.9653333333,0.1606666667,-0.1806666667,168,cvkgv8nkmd100082x43g,0.9806666667,+,X,0.5866124359,7.9712019204,0.393271676,6.2295582857,0.166808411,6.3406325561,0.6922350683,4.7342171988,0.1117957642,4.7373352627,0.0203907848,3.4230721345,0.2317864728,1.7552259329,0.1579000358,2.2709841311,0.8941223189,1.2907474847,0.8903370545,2.8916388389,1.6381982745,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
277,0.9826666667,-0.98,0.006,0.022,-0.0173333333,-0.0086666667,-0.0113333333,-0.0313333333,0.2953333333,-0.322,-0.934,0.9233333333,0.0366666667,-0.0246666667,0.9306666667,-0.9346666667,0.3033333333,-0.308,186,cvkgv8nkmd100082x43g,0.9826666667,+,X,0.2923109631,7.0032841836,0.4180654261,5.6815932621,0.8007164398,6.2764907043,0.295300472,3.2432134628,0.4774249788,3.9008710923,0.066835584,4.585955093,0.6864732955,1.368421564,0.6649458226,2.8200534103,0.0706580215,2.8977432305,0.4467041436,1.9403705467,1.3930783078,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
278,0.9806666667,-0.984,0.024,-0.0253333333,-0.014,0.008,-0.0226666667,0.0213333333,0.086,-0.0846666667,-0.976,0.9793333333,-0.0153333333,0.028,0.9806666667,-0.9853333333,0.0906666667,-0.0793333333,204,cvkgv8nkmd100082x43g,0.9806666667,+,X,0.4171451432,7.8426442032,0.7872624224,6.7683713548,0.3284921028,6.9728418334,0.0326782584,4.469114421,0.5391203331,4.7360060533,0.1403519627,3.1013897763,0.3559197273,1.121056968,0.8123576461,1.7759164048,0.7974065853,1.9903360073,0.332007972,1.3808903605,0.0998334747,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
279,0.9846666667,-0.98,-0.0066666667,-0.016,0.002,-0.0166666667,0.0213333333,0.0106666667,0.0153333333,0.036,-0.9773333333,0.9753333333,-0.0026666667,-0.0166666667,0.9793333333,-0.9793333333,0.0106666667,0.0153333333,222,cvkgv8nkmd100082x43g,0.9846666667,+,X,0.1724760471,7.3020293049,0.9763301916,5.832801304,0.9135793423,5.6237993492,0.7698074011,3.6515017,0.2908793976,4.5553137766,0.3024025027,4.6893165955,0.5021111582,2.6984229969,0.9441039708,2.1602228971,0.6681413197,2.0997105384,0.7215784851,1.2702692965,0.5216569567,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
280,0.98,-0.974,-0.064,0.056,0.0906666667,-0.0546666667,0.0566666667,-0.07,-0.112,0.0913333333,-0.9686666667,0.9686666667,0.0913333333,-0.0593333333,0.9806666667,-0.976,-0.07,0.062,240,cvkgv8nkmd100082x43g,0.98,+,X,0.8254034882,7.0312101018,0.260034968,6.964421129,0.2274065012,5.0304952066,0.2554149674,4.9305422017,0.8626643553,4.5191554733,0.4517774822,4.4440892174,0.1957191797,2.6020914691,0.2791261206,2.8753412512,0.7872754512,2.1519801725,0.4403529258,1.4637091907,1.8634060512,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
281,0.9693333333,-0.9626666667,0.096,-0.0886666667,-0.14,0.15,-0.0726666667,0.0766666667,-0.5173333333,0.5373333333,-0.8293333333,0.8273333333,-0.1573333333,0.1733333333,0.8286666667,-0.8133333333,-0.5233333333,0.484,258,cvkgv8nkmd100082x43g,0.9693333333,+,X,0.7371214664,8.8512816419,0.6036508162,6.5822049223,0.4207290849,6.5526049141,0.1210716108,3.6027688537,0.8501067563,3.2550976078,0.8639015444,4.8054830422,0.3198457306,1.4496640825,0.4721182507,2.1526319717,0.0433758248,1.9618473446,0.7720612607,1.1910281503,-1.9435985676,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
282,0.9813333333,-0.9846666667,0.0166666667,-0.0206666667,-0.0006666667,-0.0026666667,0.0006666667,0.02,0.7033333333,-0.7353333333,-0.672,0.642,-0.0273333333,-0.0193333333,0.652,-0.6806666667,0.7326666667,-0.73,276,cvkgv8nkmd100082x43g,0.9813333333,+,X,0.0684070886,7.2188519638,0.1932995692,5.2867450996,0.2199206834,5.0289223745,0.594357123,3.363831898,0.9628743469,3.1255070434,0.6993449089,4.8608677548,0.6061649953,1.8086864356,0.5737571934,2.5529501892,0.9185939717,1.0889597695,0.5066235792,1.4361615591,-0.5894691815,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
283,0.974,-0.9726666667,0.0686666667,-0.0573333333,-0.062,0.08,-0.0533333333,0.074,-0.2273333333,0.264,-0.95,0.9406666667,-0.0953333333,0.082,0.9526666667,-0.944,-0.2453333333,0.204,294,cvkgv8nkmd100082x43g,0.974,+,X,0.5946662151,8.3111232878,0.317333067,6.8469046021,0.6569020005,6.0964927116,0.4231946215,4.0802924709,0.8157647687,3.6822567057,0.6480169168,3.871361698,0.2659756939,2.9718940174,0.6450298831,1.1194115574,0.3199787074,1.2219869952,0.7054918745,2.2790031406,-1.2051543378,16,-1,,,,,2024-09-15T16:38:58.844923Z,2024-09-15T21:17:31.586Z,2024-09-15T21:38:47.145Z
284,0.984,-0.9793333333,-0.018,-0.0286666667,-0.0146666667,0.03,-0.034,0.042,0.3766666667,-0.322,-0.9273333333,0.9253333333,-0.0013333333,0.0206666667,0.908,-0.9233333333,0.342,-0.3493333333,12,cvkgv9dvawwg0089n2bg,0.984,+,X,0.073404376,7.465307663,0.2455953851,6.9960870334,0.9731149385,6.4921975372,0.5750757107,4.9851199237,0.1163005518,3.5672049658,0.7396660543,4.9763133126,0.8140968341,1.6868972419,0.758507042,2.1080539207,0.5419462143,2.2106397035,0.056307019,2.8993420815,-0.0939061116,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
285,0.9646666667,-0.962,0.0833333333,-0.1226666667,-0.2193333333,0.208,-0.0993333333,0.1213333333,-0.6106666667,0.6493333333,-0.754,0.7593333333,-0.1926666667,0.2146666667,0.734,-0.7433333333,-0.606,0.6386666667,30,cvkgv9dvawwg0089n2bg,0.9646666667,+,X,0.9223111107,8.4293139653,0.7353749187,5.203111458,0.3944390187,6.3573185969,0.5822213831,3.2440047105,0.6652432559,3.1081523373,0.3357879552,4.7068172471,0.1055699187,1.3540091981,0.8303598482,2.0703488841,0.5030486995,2.4968497638,0.5119996861,1.455135792,-1.8573271344,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
286,0.9806666667,-0.97,0.07,-0.07,-0.082,0.1333333333,-0.072,0.078,-0.4653333333,0.4666666667,-0.8506666667,0.8726666667,-0.0713333333,0.1066666667,0.8726666667,-0.8666666667,-0.4653333333,0.4453333333,48,cvkgv9dvawwg0089n2bg,0.9806666667,+,X,0.4833429661,8.1027379216,0.927662494,6.2297388366,0.9165258793,5.7858263345,0.5897042813,3.6901565471,0.2127950396,4.4895915167,0.8247713511,4.6417212371,0.1191435451,1.7764997314,0.3064429161,2.3808593063,0.3097211197,2.6644193684,0.5630339411,1.8703180809,-1.5313260247,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
287,0.9853333333,-0.974,-0.002,-0.0153333333,-0.0193333333,-0.0126666667,-0.0053333333,-0.0133333333,0.3333333333,-0.3073333333,-0.9453333333,0.924,-0.026,-0.004,0.946,-0.9346666667,0.3053333333,-0.3273333333,66,cvkgv9dvawwg0089n2bg,0.9853333333,+,X,0.3065747209,8.1590392364,0.611956824,6.9941353646,0.2711182645,6.006390642,0.6050861592,4.3113150836,0.0412977012,4.4694110924,0.2648172699,3.6347348442,0.8219068292,2.8250057022,0.6191198998,1.1833669364,0.7184500052,1.2722107882,0.7159427967,2.3223478534,-0.1526632623,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
288,0.978,-0.9806666667,0.0826666667,-0.0566666667,-0.0833333333,0.13,-0.0353333333,0.0546666667,-0.3986666667,0.3813333333,-0.8993333333,0.906,-0.0666666667,0.092,0.9006666667,-0.9006666667,-0.4026666667,0.374,84,cvkgv9dvawwg0089n2bg,0.978,+,X,0.8892110449,7.6119177564,0.2758502784,6.7899665733,0.6206803305,5.1377459931,0.3184198014,3.1150875122,0.6541239508,3.9928519409,0.2901328568,4.133988253,0.1763005237,2.1576703214,0.7334370763,1.0243602076,0.6283282196,2.544478029,0.9313033185,2.489499433,-0.5425716685,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
289,0.9766666667,-0.9853333333,-0.008,-0.0393333333,0.022,-0.0313333333,0.0186666667,-0.0446666667,-0.5633333333,0.572,-0.802,0.7806666667,-0.004,-0.0113333333,0.7946666667,-0.784,-0.618,0.5606666667,102,cvkgv9dvawwg0089n2bg,0.9766666667,+,X,0.9073728568,8.0664036167,0.875144236,5.7055054573,0.3974407544,6.6847171579,0.2477583362,3.8982207194,0.3926361341,3.4584295162,0.1886445184,3.2175811673,0.5244017224,1.5939882118,0.1699889273,1.4761117477,0.9094575958,2.4112506903,0.6251263799,1.5728725413,0.7382883528,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
290,0.9846666667,-0.9766666667,-0.082,0.0166666667,0.0346666667,-0.0706666667,0.036,-0.02,-0.4486666667,0.4026666667,-0.8926666667,0.89,0.0146666667,-0.07,0.8933333333,-0.8973333333,-0.434,0.4206666667,120,cvkgv9dvawwg0089n2bg,0.9846666667,+,X,0.5488582452,7.9901567608,0.6311371756,6.0902199409,0.7131005689,6.292119052,0.8247380014,4.0218831659,0.8036525804,4.8456309345,0.3745615217,3.4948839953,0.3344768958,1.2970941599,0.5116928313,2.7919580479,0.9991253798,2.5042298866,0.0023363649,1.6227043651,1.447912213,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
291,0.9806666667,-0.982,0.014,-0.0173333333,-0.0086666667,0.002,-0.01,-0.0173333333,-0.4946666667,0.46,-0.8393333333,0.8633333333,-0.0153333333,0.0246666667,0.872,-0.83,-0.464,0.4746666667,138,cvkgv9dvawwg0089n2bg,0.9806666667,+,X,0.9894250006,8.1082897347,0.0110335453,6.9552877432,0.4108908449,5.6878894637,0.5504840679,3.7516156379,0.7247100489,4.5709624603,0.8372243878,3.1240822244,0.61195953,2.6146820614,0.4871620172,2.5914561196,0.2590068931,2.9475583904,0.4628593258,1.3647746555,0.3607675811,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
292,0.9806666667,-0.9893333333,-0.0146666667,-0.01,0.0193333333,0.0026666667,-0.01,-0.0206666667,0.572,-0.566,-0.788,0.7806666667,-0.0113333333,0.002,0.784,-0.8113333333,0.562,-0.6046666667,156,cvkgv9dvawwg0089n2bg,0.9806666667,+,X,0.0030979789,7.1671251913,0.7543569654,6.8217396614,0.2828974746,6.659768513,0.0070681305,4.929021666,0.529363176,3.1014392854,0.7290481804,3.6030489596,0.408635216,1.6754804069,0.8095326442,1.7689548183,0.7384059131,1.0392673578,0.9459171673,2.8661002445,1.39219517,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
293,0.9766666667,-0.9833333333,0.038,-0.0013333333,-0.0273333333,-0.012,-0.028,0.0026666667,0.2006666667,-0.2553333333,-0.962,0.958,-0.0053333333,0.012,0.962,-0.9673333333,0.2,-0.2466666667,174,cvkgv9dvawwg0089n2bg,0.9766666667,+,X,0.4542734374,8.8064408721,0.221228518,5.4538873702,0.4566940048,5.5370062,0.4530959182,3.5553921559,0.2968115537,4.757528453,0.2487701764,3.3094082343,0.8906646376,2.6675548812,0.8201544883,1.4684018926,0.537110369,2.464003163,0.3703151407,1.8835886031,0.5050542777,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
294,0.9853333333,-0.98,-0.022,-0.0153333333,-0.008,0.002,0.0213333333,0.0026666667,0.5146666667,-0.4973333333,-0.8393333333,0.8493333333,0.0353333333,-0.0173333333,0.8266666667,-0.8553333333,0.504,-0.4993333333,192,cvkgv9dvawwg0089n2bg,0.9853333333,+,X,0.1993739129,8.8529078181,0.1351160243,6.8752497327,0.6141162707,5.0833838051,0.1586171894,4.5273081776,0.2636583107,4.6884776482,0.8765332884,3.7798796029,0.7283549653,1.6466534818,0.3428783543,2.8473512509,0.9555682613,1.3666474761,0.8251956014,2.3558079507,1.7858116714,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
295,0.9833333333,-0.982,0.0026666667,0.012,0.028,-0.0373333333,0.0413333333,-0.0126666667,0.4373333333,-0.4466666667,-0.8813333333,0.888,0.0306666667,-0.0106666667,0.8733333333,-0.884,0.4093333333,-0.42,210,cvkgv9dvawwg0089n2bg,0.9833333333,+,X,0.24705653,7.8229891695,0.3274314645,5.633973764,0.5123813315,5.9505017774,0.0395841238,3.6188581128,0.7062291516,3.0179120143,0.4241384498,4.7150118536,0.8977651121,2.9842051498,0.6310332992,1.8985986818,0.5657661568,2.4900094962,0.9806570027,1.0895297413,1.6717981315,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
296,0.982,-0.9813333333,-0.0653333333,0.0286666667,0.042,-0.0173333333,0.044,-0.0166666667,0.1626666667,-0.1833333333,-0.9633333333,0.962,0.024,-0.0233333333,0.9726666667,-0.9673333333,0.1866666667,-0.2046666667,228,cvkgv9dvawwg0089n2bg,0.982,+,X,0.2768449568,7.2769470568,0.6098733291,5.0003256933,0.8227349084,6.0338963132,0.387904168,4.7962135068,0.2369362481,4.3622101485,0.3473132605,3.801730696,0.7083249834,1.7805117742,0.652576557,1.8979003043,0.8955647455,2.9027394687,0.1248183959,1.4084619871,1.7930129222,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
297,0.9826666667,-0.9846666667,0.014,0.0306666667,0.0413333333,-0.0613333333,0.068,-0.0326666667,0.108,-0.0753333333,-0.9746666667,0.9726666667,0.0166666667,-0.052,0.98,-0.9773333333,0.0893333333,-0.0733333333,246,cvkgv9dvawwg0089n2bg,0.9826666667,+,X,0.5514861164,8.9400370732,0.1670926959,5.0007099885,0.3111397461,6.7193624332,0.1742476439,4.2429493038,0.6588652487,3.3589420859,0.7035222197,4.1972263342,0.5069076826,1.0809319613,0.5997604911,1.947984731,0.4070965585,1.0966036274,0.1498918779,2.6281285221,1.5614800048,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
298,0.98,-0.9826666667,-0.0353333333,0.0013333333,0.06,-0.0273333333,0.0433333333,-0.0486666667,-0.2646666667,0.2713333333,-0.9586666667,0.942,0.08,-0.0313333333,0.9406666667,-0.95,-0.262,0.276,264,cvkgv9dvawwg0089n2bg,0.98,+,X,0.6744613152,7.856636683,0.1479206065,6.7315374506,0.7742524338,6.8000371751,0.6406035719,4.0395342246,0.4907523671,4.1009416269,0.2539970046,4.5638134028,0.5229721756,1.9822619751,0.3451686332,1.9488008787,0.6639113092,1.1208930632,0.8206940492,1.8000231956,1.5474280582,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
299,0.982,-0.9806666667,0.0673333333,-0.034,-0.0326666667,0.024,-0.002,0.0353333333,-0.0046666667,-0.008,-0.982,0.9766666667,-0.026,0.072,0.984,-0.9746666667,0.0426666667,-0.018,282,cvkgv9dvawwg0089n2bg,0.982,+,X,0.2107911474,7.3215134104,0.9000169999,6.704295181,0.558814216,5.8111337161,0.3323744868,4.2595088629,0.6726209228,4.0546462618,0.9831233361,4.6571757672,0.0737640411,1.385421724,0.8757112202,2.581108718,0.4013358905,2.007275981,0.1613373732,2.6923189866,-0.8092640172,17,-1,,,,,2024-09-15T16:39:01.89563Z,2024-09-15T21:21:46.853Z,2024-09-15T21:43:03.436Z
300,0.9753333333,-0.9766666667,-0.0393333333,-0.0213333333,0.15,-0.1833333333,0.0293333333,-0.0353333333,-0.902,0.9013333333,-0.3853333333,0.3586666667,0.1406666667,-0.1626666667,0.392,-0.394,-0.8933333333,0.892,0,cvkgva5z17rg008dp5pg,0.9753333333,+,X,0.9568944134,8.5699706672,0.612987081,6.4242755608,0.9446251694,5.4403384041,0.3441057577,3.7335371791,0.7409461502,3.3263247718,0.9668648205,4.3911891336,0.8921345061,2.5158865604,0.8446938255,2.9087698253,0.3948724388,1.7962527071,0.2919533489,2.3289268653,1.897841255,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
301,0.984,-0.978,0.0713333333,-0.092,-0.068,0.0693333333,-0.0153333333,0.0086666667,-0.252,0.2513333333,-0.956,0.9506666667,-0.07,0.0966666667,0.958,-0.9493333333,-0.238,0.2166666667,18,cvkgva5z17rg008dp5pg,0.984,+,X,0.3061469689,8.7322598318,0.8701444886,6.9446980149,0.664325608,5.0118330765,0.8030857765,4.5940332777,0.9948594803,3.4278463649,0.4955034948,3.1568000038,0.8652582102,2.0021135771,0.6702905921,2.1357575198,0.5750600146,1.8334580526,0.9235158692,1.9954023485,-1.3553473998,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
302,0.9766666667,-0.9773333333,-0.026,0.0053333333,0.072,-0.126,0.0393333333,-0.0606666667,-0.8386666667,0.834,-0.502,0.5133333333,0.154,-0.0966666667,0.498,-0.4913333333,-0.816,0.816,36,cvkgva5z17rg008dp5pg,0.9766666667,+,X,0.9992995081,8.4451376904,0.5447771411,6.0845093185,0.6574931945,6.2515532535,0.8079667888,4.745454731,0.2985377253,3.1312015979,0.8202242844,3.4680764927,0.1505089123,2.9162107114,0.2418913197,2.5492853932,0.4781727378,2.6775704159,0.928243559,2.7604830601,1.7362173447,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
303,0.9786666667,-0.9786666667,0.0306666667,-0.0393333333,-0.05,0.0926666667,-0.0586666667,0.0586666667,0.2466666667,-0.244,-0.9406666667,0.9586666667,-0.0446666667,0.078,0.9446666667,-0.9513333333,0.2806666667,-0.26,54,cvkgva5z17rg008dp5pg,0.9786666667,+,X,0.5103432588,7.4009463743,0.2772199315,6.331487316,0.1767829535,6.1727500624,0.2595884789,4.8671071664,0.2556889626,4.3557967106,0.8156385904,4.944214385,0.1757870445,2.9120451164,0.8362544945,2.3096294248,0.9254552542,1.5999196983,0.2324743686,1.6813075549,-1.945275475,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
304,0.982,-0.972,0.0426666667,-0.0513333333,-0.0586666667,0.0646666667,-0.088,0.07,-0.1446666667,0.158,-0.9666666667,0.966,-0.0753333333,0.054,0.972,-0.958,-0.1526666667,0.1753333333,72,cvkgva5z17rg008dp5pg,0.982,+,X,0.600613782,7.4213571815,0.592231239,6.210056378,0.2824147655,5.2151230784,0.1113631558,3.1405106843,0.6971690801,4.7336518735,0.7724531856,4.4944921639,0.8171524428,1.5820375,0.7855907304,2.4408018968,0.8182348233,2.6876331099,0.7609803461,2.700804255,-1.0042083442,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
305,0.984,-0.9753333333,0.0306666667,-0.004,-0.008,0.018,-0.0113333333,0.0333333333,0.3233333333,-0.2893333333,-0.9253333333,0.936,-0.0306666667,0.0173333333,0.9326666667,-0.9246666667,0.3133333333,-0.3126666667,90,cvkgva5z17rg008dp5pg,0.984,+,X,0.1625305565,7.3170472587,0.9863114905,5.9235372799,0.2451720571,5.4520985497,0.6970031682,3.1343317095,0.5850227275,3.2947922303,0.9970772237,3.0390637645,0.7604097257,2.5476354805,0.8642118461,1.152060744,0.4751343413,1.561380534,0.0250273534,2.1440233204,-0.2124202508,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
306,0.9826666667,-0.9766666667,0.0053333333,-0.018,-0.026,0.0353333333,-0.036,0.0546666667,0.0333333333,-0.0586666667,-0.98,0.9753333333,-0.0346666667,0.0673333333,0.9806666667,-0.9853333333,0.082,-0.0353333333,108,cvkgva5z17rg008dp5pg,0.9826666667,+,X,0.5252652892,8.5817050909,0.5125046871,6.8316165166,0.0595481745,5.0192965654,0.7653546391,3.4231567298,0.3856741525,4.2394314382,0.4934834614,4.1299742496,0.1155972574,1.5879383987,0.6538979822,1.5974518573,0.2888048824,1.7140630259,0.9517723137,2.6965342662,-0.7102492167,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
307,0.9713333333,-0.9753333333,0.0873333333,-0.112,-0.1146666667,0.1086666667,-0.086,0.0966666667,0.0226666667,-0.0373333333,-0.97,0.9733333333,-0.0753333333,0.096,0.976,-0.9766666667,0.05,-0.0746666667,126,cvkgva5z17rg008dp5pg,0.9713333333,+,X,0.7345114218,7.124773055,0.5475838032,5.2786946623,0.0514316868,6.9822925648,0.4037360862,3.9886504938,0.9349501385,3.8528895868,0.0706228797,4.9911101333,0.3453243996,2.2044151391,0.5756758377,2.5220626499,0.087887329,1.4238315717,0.0961557087,1.9512708454,-1.9125803704,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
308,0.9746666667,-0.9873333333,0.0993333333,-0.0766666667,-0.0626666667,0.0333333333,-0.0526666667,0.01,-0.088,0.0986666667,-0.984,0.9706666667,-0.048,0.0513333333,0.9806666667,-0.9746666667,-0.0926666667,0.052,144,cvkgva5z17rg008dp5pg,0.9746666667,+,X,0.3717317638,8.8194061762,0.6698926576,6.2160200671,0.5855469442,5.2120547543,0.8050809239,4.4810673013,0.6612066078,4.1295997793,0.6814506885,3.7758316779,0.1942698328,2.1948858114,0.2728472595,1.000315096,0.0185700728,1.3088521035,0.2077157394,2.2504769886,-1.3302980768,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
309,0.978,-0.9813333333,0.0246666667,-0.0173333333,-0.0533333333,0.0606666667,0.0,0.0446666667,-0.8093333333,0.7913333333,-0.566,0.5773333333,-0.0746666667,0.1106666667,0.57,-0.558,-0.7773333333,0.794,162,cvkgva5z17rg008dp5pg,0.978,+,X,0.7956963272,8.5033862438,0.8257979541,6.900473398,0.4865590016,6.282693522,0.8807549593,4.5320056387,0.9098947219,4.834522291,0.4926394418,3.7355388454,0.6657261916,1.8859604318,0.5478633939,1.3651709089,0.1852220923,2.1062713025,0.8399867783,2.9762231517,-0.2190557017,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
310,0.9773333333,-0.9726666667,0.0406666667,-0.0446666667,-0.0373333333,0.0606666667,-0.06,0.06,-0.1346666667,0.1533333333,-0.9626666667,0.966,-0.0566666667,0.0806666667,0.9673333333,-0.9773333333,-0.1586666667,0.1226666667,180,cvkgva5z17rg008dp5pg,0.9773333333,+,X,0.5711446704,7.9603548844,0.2475637901,5.8092927276,0.3733063796,6.3812082691,0.7471463715,4.9976023797,0.6402028164,4.8857338471,0.9716318223,4.0218749694,0.9895665197,2.0270930094,0.9229519523,1.2001187536,0.0187344174,2.5903881594,0.3873813308,2.3597765947,-1.1961863906,18,-1,,,,,2024-09-15T16:39:05.143505Z,2024-09-15T21:26:01.8Z,2024-09-15T21:47:11.394Z
