parameters_id,expectation_value/+/X,expectation_value/-/X,expectation_value/r/X,expectation_value/l/X,expectation_value/0/X,expectation_value/1/X,expectation_value/+/Y,expectation_value/-/Y,expectation_value/r/Y,expectation_value/l/Y,expectation_value/0/Y,expectation_value/1/Y,expectation_value/+/Z,expectation_value/-/Z,expectation_value/r/Z,expectation_value/l/Z,expectation_value/0/Z,expectation_value/1/Z,circuit_idx,job_id,expectation_value,initial_state,observable,parameter/0/0/amp,parameter/0/0/sigma,parameter/0/0/beta,parameter/1/0/amp,parameter/1/0/sigma,parameter/1/0/beta,parameter/1/1/amp,parameter/1/1/sigma,parameter/1/1/beta,parameter/2/0/amp,parameter/2/0/sigma,parameter/2/0/beta,parameter/2/1/amp,parameter/2/1/sigma,parameter/2/1/beta,parameter/2/2/amp,parameter/2/2/sigma,parameter/2/2/beta,parameter/3/0/amp,parameter/3/0/sigma,parameter/3/0/beta,parameter/3/1/amp,parameter/3/1/sigma,parameter/3/1/beta,parameter/3/2/amp,parameter/3/2/sigma,parameter/3/2/beta,parameter/3/3/amp,parameter/3/3/sigma,parameter/3/3/beta,job_idx,unique_id,counts/00,counts/01,counts/10,counts/11
172,0.9686666667,-0.9406666667,-0.0006666667,0.0513333333,0.0566666667,-0.0286666667,0.0666666667,-0.0166666667,0.3626666667,-0.3346666667,-0.866,0.8766666667,0.0353333333,0.0166666667,0.9073333333,-0.8906666667,0.412,-0.3773333333,96,crs81f5dbt40008jknw0,0.9686666667,+,X,0.5252346276,7.2437063088,-1.5662335248,0.6347828434,6.7631574988,-0.8514509287,0.4460958701,5.8972184576,0.3465166275,0.8407543254,3.4975361323,-1.7780590127,0.8826444667,4.5762380875,1.4629254834,0.3219186127,3.5624850776,-1.674908094,0.2236550624,1.0532952108,1.3742858312,0.7356307706,2.4113482231,1.0140527803,0.4209659969,1.6442458058,0.7895079971,0.9717919932,1.7237925431,-0.380497803,10,3096,49.0,39.0,2904.0,8.0
173,0.964,-0.9353333333,-0.052,0.0646666667,0.1013333333,-0.0786666667,0.1033333333,-0.0793333333,0.1926666667,-0.1426666667,-0.9246666667,0.9626666667,0.038,-0.0613333333,0.956,-0.9453333333,0.2166666667,-0.146,114,crs81f5dbt40008jknw0,0.964,+,X,0.7548106031,8.7872109363,-0.0151058398,0.3854445004,5.7364926871,0.1479706258,0.2519269987,6.8762312776,1.7262250009,0.7413660743,4.402354943,-0.9033783798,0.4346500287,3.8451677705,-0.1162136044,0.5391215843,3.9777670131,0.7414939133,0.3500707607,2.3680901082,-0.7263867317,0.8389156386,1.6373566095,-0.6059691657,0.8035805122,2.8407994336,0.3110883568,0.6296481071,1.3868375052,0.75054401,10,3114,39.0,50.0,2907.0,4.0
174,0.9586666667,-0.9326666667,-0.0593333333,0.08,0.1066666667,-0.0806666667,0.1066666667,-0.0993333333,0.02,0.0033333333,-0.9473333333,0.9686666667,0.0853333333,-0.0293333333,0.9673333333,-0.9486666667,0.0246666667,-0.0573333333,132,crs81f5dbt40008jknw0,0.9586666667,+,X,0.5613800223,8.6896041647,1.5998658486,0.9920588607,5.3663463279,-1.0854881236,0.6782187809,5.2350053478,0.6220192695,0.2694455126,4.2264421363,-0.2343319654,0.613359847,4.2027498231,0.8821292975,0.748877274,4.3736448369,0.3554889924,0.8623265427,1.5185229419,-1.7301578649,0.2430708456,2.4250801157,0.6081169251,0.0607980908,2.5573154967,-1.5810856124,0.4361255234,2.001040319,-0.0054194146,10,3132,45.0,57.0,2893.0,5.0
175,0.9606666667,-0.942,-0.0733333333,0.1186666667,0.1153333333,-0.0846666667,0.0993333333,-0.1113333333,0.168,-0.2246666667,-0.9173333333,0.948,0.0946666667,-0.0633333333,0.9453333333,-0.9193333333,0.1893333333,-0.1566666667,150,crs81f5dbt40008jknw0,0.9606666667,+,X,0.7010717699,8.8914534607,1.7591505259,0.1077423181,6.4208971206,0.8477983142,0.6900001384,5.3765895601,1.1358062617,0.9828208833,3.6689893536,-0.1958404489,0.2101679035,3.4223815776,-1.5960213198,0.1519206351,3.8839381526,-0.655426284,0.8849487503,2.3945416238,-1.1485883228,0.3104896627,1.1950369895,-1.2126957017,0.8119333326,1.7841309035,1.8931995339,0.0766055335,2.5604411272,-1.2359980638,10,3150,38.0,54.0,2903.0,5.0
176,0.9113333333,-0.892,-0.0766666667,0.0686666667,0.3353333333,-0.314,0.1393333333,-0.156,-0.652,0.682,-0.6813333333,0.6846666667,0.2613333333,-0.2213333333,0.708,-0.706,-0.5913333333,0.5833333333,168,crs81f5dbt40008jknw0,0.9113333333,+,X,0.8737926604,8.5726319389,1.0441433386,0.9682154213,5.715211839,1.3167790662,0.8228753676,6.732884446,0.8730053601,0.0652689958,3.0599015346,1.915666198,0.9452393147,4.6220436045,-0.6257525949,0.1779032757,3.1731583607,1.3842265319,0.6355548987,2.8718920557,-0.8553924022,0.1312064988,1.8409874891,1.0553903715,0.2784972984,1.0889118608,-0.6984462831,0.6793804001,1.0810536241,-0.6339357653,10,3168,57.0,125.0,2810.0,8.0
177,0.9706666667,-0.946,-0.0073333333,0.054,0.0926666667,-0.0233333333,0.048,-0.0473333333,0.2986666667,-0.2906666667,-0.896,0.9226666667,0.0486666667,-0.0313333333,0.9233333333,-0.9026666667,0.3146666667,-0.31,186,crs81f5dbt40008jknw0,0.9706666667,+,X,0.8494009069,7.3648014246,-0.622580389,0.1758844054,5.1005826876,1.075328329,0.161710384,5.2963161306,0.6522550533,0.4731897504,4.6883608027,1.3685518252,0.6199367973,3.6471055941,0.137935735,0.8293554983,4.3494599389,0.8428147956,0.1842821671,2.3215539913,-1.4635175696,0.5442142093,1.7673243013,1.8788552541,0.0363314884,1.2567457009,0.3908362569,0.4802307218,2.3312761707,-0.205966993,10,3186,36.0,35.0,2920.0,9.0
178,0.956,-0.932,-0.09,0.0886666667,0.142,-0.1273333333,0.13,-0.1273333333,-0.166,0.1826666667,-0.94,0.9526666667,0.1153333333,-0.0686666667,0.9493333333,-0.928,-0.1306666667,0.1506666667,204,crs81f5dbt40008jknw0,0.956,+,X,0.8166602768,8.4123870321,0.31660542,0.8006908249,6.7487249454,-1.1092675921,0.4128500338,5.8258217974,-0.2029784571,0.163402266,4.3315953675,1.7010150396,0.1800332841,3.2756443077,-1.9359092354,0.6732523024,4.2334891226,-0.8606598537,0.9396549364,1.7337272663,-0.5460210149,0.3885493281,1.9462825677,0.2808261654,0.2795894763,2.9186080061,1.3285680749,0.0674214359,1.2972773287,-0.0173861606,10,3204,48.0,60.0,2886.0,6.0
179,0.964,-0.9246666667,-0.0933333333,0.106,0.082,-0.038,0.0906666667,-0.0793333333,0.2393333333,-0.2486666667,-0.8973333333,0.9306666667,0.078,-0.0606666667,0.9313333333,-0.9186666667,0.252,-0.2413333333,222,crs81f5dbt40008jknw0,0.964,+,X,0.7186517967,8.3714703228,1.3491680358,0.4899806427,5.2794103134,1.863892167,0.6077310877,6.5649256474,-0.32689074,0.2885339263,3.7814508438,-1.7219084306,0.3944141813,3.8747225145,-1.025640603,0.3387061643,4.190876192,0.1247922935,0.1307444218,2.2749881397,0.6860289724,0.2327858705,1.764104178,0.6587393377,0.2917208977,2.2274733353,-0.3516844249,0.6550009615,2.6619584479,0.2917168113,10,3222,50.0,49.0,2896.0,5.0
180,0.9793333333,-0.9533333333,-0.004,0.04,0.0733333333,-0.0233333333,0.0226666667,-0.0426666667,0.2506666667,-0.2346666667,-0.9173333333,0.9346666667,0.0226666667,0.0186666667,0.954,-0.9306666667,0.2593333333,-0.2326666667,240,crs81f5dbt40008jknw0,0.9793333333,+,X,0.7005113813,8.7976970978,-1.6183583241,0.6387882813,6.4192639359,-0.1359079985,0.3620127538,6.2687240876,0.214996188,0.3202090158,4.7290432155,1.7820629998,0.1802250121,3.2578513745,0.9713637284,0.660135464,3.7873623219,0.6501146496,0.1114184068,1.4114589749,-0.7701346957,0.0632857755,2.3009377166,0.7705904718,0.1811601114,2.2261499509,-0.9906836933,0.8463981261,1.434982518,-1.9718715148,10,3240,48.0,29.0,2921.0,2.0
181,0.9653333333,-0.9526666667,-0.0413333333,0.016,0.0566666667,0.01,0.0693333333,-0.0013333333,0.6466666667,-0.6413333333,-0.6966666667,0.706,0.0373333333,-0.004,0.734,-0.668,0.6393333333,-0.6493333333,258,crs81f5dbt40008jknw0,0.9653333333,+,X,0.4449431626,8.6792017837,1.8212223877,0.3990488826,5.864723423,-1.861718855,0.4687242571,6.7836510566,0.0051080232,0.0571173194,4.5385690714,1.7864364965,0.2534008535,3.3470261959,0.0652216512,0.9539574299,4.016051243,1.4648662142,0.8700123741,2.4729476935,-0.3764516246,0.3480315138,2.1884525306,-0.9357152997,0.6151375488,1.2253345323,0.6862467822,0.4883102957,1.4846370914,-1.4387845566,10,3258,41.0,46.0,2907.0,6.0
182,0.9453333333,-0.922,-0.0673333333,0.094,0.1626666667,-0.146,0.1653333333,-0.1186666667,-0.084,0.0826666667,-0.9306666667,0.948,0.1246666667,-0.1,0.9506666667,-0.9366666667,-0.0693333333,0.116,276,crs81f5dbt40008jknw0,0.9453333333,+,X,0.9184649826,7.282254343,0.2862052284,0.7845961444,5.7071813397,0.9165514142,0.2503418369,6.7436857229,-1.5194951932,0.7697719205,3.8380403054,1.8183208342,0.611891163,3.5893278798,1.7041787692,0.1317551653,3.1491139913,-1.90462882,0.7276731272,2.5125529802,1.3994545501,0.3988794335,2.4234959106,-1.4460412623,0.2754699246,2.0369957069,-0.9645616928,0.362080519,2.6925049228,-0.7401011606,10,3276,47.0,69.0,2871.0,13.0
183,0.9766666667,-0.9466666667,-0.0013333333,0.022,0.0226666667,0.0006666667,0.0366666667,-0.0033333333,0.7233333333,-0.6986666667,-0.6413333333,0.6766666667,0.0113333333,0.0473333333,0.6686666667,-0.634,0.7426666667,-0.706,294,crs81f5dbt40008jknw0,0.9766666667,+,X,0.5672474151,8.5909843942,-0.1787611133,0.1689672511,6.1326147599,1.1411243767,0.0377771875,6.3823768866,0.3012786496,0.389670781,3.2730167355,0.6589621873,0.0943859579,4.7945213993,0.1852872069,0.5581568384,3.5623675212,0.3661968555,0.9552014014,1.3163584586,-1.0553468953,0.244088392,1.1711122413,0.3350410936,0.4953851093,2.3384619588,1.8532738022,0.9495798408,2.004837828,-1.3933704185,10,3294,48.0,34.0,2917.0,1.0
184,0.9746666667,-0.946,-0.0053333333,0.042,0.0406666667,-0.0126666667,0.0486666667,-0.0366666667,0.29,-0.238,-0.91,0.9346666667,0.0406666667,0.0006666667,0.94,-0.9033333333,0.3046666667,-0.2553333333,12,crs81fxdbt40008jknwg,0.9746666667,+,X,0.6865250775,8.3592062536,-1.6897562892,0.4942069768,6.3991852864,0.4643107812,0.2025794291,5.6242643776,1.3928233208,0.8120826901,3.4924106315,-0.2119488815,0.2507202341,4.2567766664,1.4112783613,0.6704759158,4.4151013949,1.5173533938,0.6095260583,2.2406533024,-1.9019296479,0.9772640983,1.9862089774,0.86437656,0.936567729,2.1790436009,-0.533858986,0.4818293707,1.7121831351,0.5054018518,11,3312,42.0,38.0,2920.0,0.0
185,0.9526666667,-0.9386666667,-0.0973333333,0.1146666667,0.1193333333,-0.0933333333,0.1726666667,-0.1106666667,0.232,-0.2526666667,-0.9006666667,0.9286666667,0.1213333333,-0.0913333333,0.938,-0.916,0.2813333333,-0.2253333333,30,crs81fxdbt40008jknwg,0.9526666667,+,X,0.8872407987,7.7347246681,1.3762597219,0.1264659116,6.6617311961,-0.4303666873,0.3172582801,6.2324054141,1.4051295643,0.7179271597,3.7777127126,-0.1648956807,0.4962087039,3.2923228371,1.4166071387,0.1615575258,4.5662706753,1.9203800652,0.1042100932,2.7503848781,-0.5413149456,0.3465748959,1.6562807892,1.560599444,0.7165068233,1.7643487149,-0.984333249,0.2228499662,2.7887633981,-0.3085788351,11,3330,40.0,62.0,2889.0,9.0
186,0.9593333333,-0.932,-0.0573333333,0.09,0.116,-0.108,0.1213333333,-0.088,0.1513333333,-0.1246666667,-0.9366666667,0.9393333333,0.0473333333,-0.0673333333,0.956,-0.93,0.148,-0.1646666667,48,crs81fxdbt40008jknwg,0.9593333333,+,X,0.7949436294,7.2955678277,-0.4167210262,0.4889264772,5.8825011227,1.3055966597,0.4943867445,5.114155972,-0.9242122896,0.6387400498,3.7626539887,0.460809029,0.8155024783,4.7666034241,1.5635847145,0.1262519576,4.4254862047,-0.7397531885,0.7368729625,1.3540471203,-0.8712774064,0.2305253567,2.1717178776,-0.6664099963,0.2550472583,2.7006024021,0.4692565149,0.3718627109,2.2326248754,1.3734856223,11,3348,51.0,52.0,2888.0,9.0
187,0.9433333333,-0.916,-0.0473333333,0.1066666667,0.182,-0.1666666667,0.142,-0.1386666667,-0.2406666667,0.2413333333,-0.9233333333,0.9393333333,0.1526666667,-0.1053333333,0.942,-0.9193333333,-0.2053333333,0.1893333333,66,crs81fxdbt40008jknwg,0.9433333333,+,X,0.7954146913,8.8679384638,1.3072767315,0.7578609413,5.8721284097,-1.9466100738,0.6833377631,5.9550049291,-1.9171651538,0.1530007124,3.8549747487,0.8241853457,0.4998884479,3.5181746016,0.7911301022,0.1849843298,4.9914636084,-1.701377948,0.4221823745,1.0731863709,-1.9981870752,0.677838414,1.4910745537,1.6362804881,0.6728511045,1.7753881556,-0.6902767254,0.5742499925,1.8739463922,-0.1321537997,11,3366,43.0,80.0,2872.0,5.0
188,0.9686666667,-0.922,-0.0633333333,0.078,0.0766666667,-0.0506666667,0.0946666667,-0.062,0.334,-0.3366666667,-0.8866666667,0.8873333333,0.0466666667,-0.036,0.92,-0.8966666667,0.3726666667,-0.3093333333,84,crs81fxdbt40008jknwg,0.9686666667,+,X,0.6903411568,7.8137363244,0.0484034639,0.1477400323,6.6575710541,-0.6484662946,0.5892461307,5.1540360036,1.6296697277,0.3014561442,4.4741495121,-0.9322453515,0.7427703075,4.6565050818,1.8215966214,0.5826279686,4.0803821691,1.1777181516,0.5543041789,2.9069058329,-1.4841312557,0.7967685201,1.0055031264,-1.7573730332,0.8104565447,1.8684107465,-1.2238091742,0.7647457459,1.5056734922,-1.6543278872,11,3384,35.0,39.0,2918.0,8.0
189,0.974,-0.9533333333,-0.0366666667,0.0626666667,0.074,-0.022,0.0766666667,-0.044,0.264,-0.2086666667,-0.9173333333,0.9406666667,0.02,-0.012,0.9486666667,-0.9166666667,0.2726666667,-0.2286666667,102,crs81fxdbt40008jknwg,0.974,+,X,0.7413871014,8.9276433062,-1.6144143669,0.198483848,6.1280127531,0.6818006043,0.7342981032,5.2427023882,1.8423598944,0.0793855165,3.8592356244,-0.7660542241,0.0154407225,4.1732778105,1.3406663966,0.2098592359,4.7597527396,-0.9625646429,0.1835507299,1.2634384329,0.2403139188,0.042861605,2.2458213502,1.5139306619,0.0173659295,1.7028510858,-1.793584559,0.9304100828,2.0924440225,1.7195979809,11,3402,40.0,31.0,2921.0,8.0
190,0.972,-0.9573333333,-0.0133333333,0.0233333333,0.03,0.036,0.016,-0.026,0.6253333333,-0.6033333333,-0.7093333333,0.7433333333,0.0453333333,-0.022,0.7666666667,-0.724,0.64,-0.6233333333,120,crs81fxdbt40008jknwg,0.972,+,X,0.3327436144,8.5383764386,1.4543200978,0.5286008115,6.8913244177,1.0449752296,0.4263050987,5.5101918613,0.9391809388,0.7254908127,3.9883837108,-1.7448681968,0.8032879049,4.6573994899,-1.0507673778,0.8681568658,3.0521122455,-1.0794360744,0.7570478402,2.1797116356,1.2638413491,0.4663635313,1.589712077,-1.0041520518,0.1741355041,1.2329165044,1.7601410848,0.1605302448,1.8849405364,0.1628792158,11,3420,43.0,37.0,2915.0,5.0
191,0.9653333333,-0.9506666667,0.0266666667,0.024,0.0093333333,0.0433333333,0.012,0.0193333333,0.928,-0.9053333333,-0.2846666667,0.336,0.0413333333,-0.0026666667,0.3446666667,-0.2706666667,0.9286666667,-0.8946666667,138,crs81fxdbt40008jknwg,0.9653333333,+,X,0.1825864892,8.3138500724,1.1687702702,0.0586559448,6.406745394,1.342932809,0.108724255,5.5282962344,-1.8050242637,0.2845536665,4.9948867659,0.272312914,0.9389391535,3.337869028,0.4792342354,0.5124034452,3.927408958,-0.7574440049,0.1695579184,2.4346481288,0.0459704242,0.2358007451,2.1083026821,-0.8988803963,0.0346854255,1.97678425,-0.2905284463,0.9591589962,2.5074089432,-0.5780130865,11,3438,40.0,40.0,2908.0,12.0
192,0.956,-0.93,-0.0366666667,0.048,0.2033333333,-0.1366666667,0.1626666667,-0.1026666667,-0.4253333333,0.4346666667,-0.85,0.874,0.1293333333,-0.102,0.8733333333,-0.8546666667,-0.3913333333,0.3793333333,156,crs81fxdbt40008jknwg,0.956,+,X,0.9568101476,8.9414857741,-0.5554738733,0.6284296963,6.6335700054,1.8460385975,0.2022804006,5.6184043245,0.1257060138,0.7167338869,3.4471903475,-0.6412443782,0.9127340183,3.5017897254,-1.7998237629,0.208845449,4.7669624319,-1.1825220492,0.3900999767,1.2156364408,1.5906895547,0.5753178939,2.7965852641,-0.9194678496,0.9518825699,1.2004262039,0.3395721252,0.498153082,2.8466515119,1.0183207046,11,3456,47.0,64.0,2887.0,2.0
193,0.9593333333,-0.948,0.0026666667,0.11,0.0106666667,0.0,0.0146666667,0.002,0.57,-0.56,-0.776,0.788,0.0273333333,-0.0113333333,0.7906666667,-0.748,0.5906666667,-0.5366666667,174,crs81fxdbt40008jknwg,0.9593333333,+,X,0.0480070565,7.1109669515,-1.6018660702,0.8279223699,6.2825238063,1.1020719239,0.93643968,5.190362047,0.0602156917,0.3329904009,4.0545882558,-1.360203929,0.1407894045,3.9676808078,0.7722877118,0.1391382689,4.614027687,-0.9480206622,0.9088044178,1.7281175464,0.1114675487,0.4672316465,2.4662196011,-1.9056648225,0.133917587,2.3387655052,0.2071886713,0.2187558079,1.8090316273,-0.5763585089,11,3474,42.0,54.0,2897.0,7.0
194,0.9793333333,-0.942,-0.0106666667,0.034,0.0106666667,0.032,0.018,-0.0226666667,0.7026666667,-0.7,-0.6413333333,0.664,0.0406666667,0.012,0.668,-0.6706666667,0.7253333333,-0.6693333333,192,crs81fxdbt40008jknwg,0.9793333333,+,X,0.4392864644,8.4898240929,-0.8810789315,0.1434151843,5.2941055521,-1.2557599721,0.7248844659,5.9830142224,0.7827288468,0.2003697483,4.1771864899,0.7198509182,0.1607975051,3.4134479728,-1.8302007218,0.421051927,4.8819695842,-0.2303054997,0.3774834063,2.7652281514,-0.0005744626,0.0808471057,2.8655949878,-0.1576118441,0.9023432565,2.0019073462,-0.9413750833,0.5989934453,2.4249150943,-0.3579367242,11,3492,51.0,27.0,2918.0,4.0
195,0.9786666667,-0.9506666667,0.0233333333,0.0306666667,0.0406666667,-0.0126666667,0.0266666667,0.0053333333,0.796,-0.7706666667,-0.5413333333,0.5793333333,0.0253333333,0.0313333333,0.574,-0.5493333333,0.7786666667,-0.7753333333,210,crs81fxdbt40008jknwg,0.9786666667,+,X,0.2733425796,8.3774180826,-1.2729698982,0.6565298771,5.0786669931,-1.7682996708,0.4939403682,6.0622314549,1.1881613207,0.0869787137,4.8496780658,0.3990000394,0.4972292905,4.9435370182,0.7270490016,0.202611953,4.7885255368,0.2497636136,0.939753445,2.3143996213,-1.0442509946,0.3959907179,2.9330379327,1.1490898158,0.06091794,2.0115078983,-0.9963542481,0.4904166128,1.7217201991,-1.792041862,11,3510,31.0,31.0,2937.0,1.0
196,0.978,-0.9466666667,-0.0326666667,0.0446666667,0.0033333333,-0.0053333333,0.0386666667,0.0026666667,0.7033333333,-0.7233333333,-0.64,0.6813333333,-0.014,0.028,0.68,-0.6306666667,0.7233333333,-0.7066666667,228,crs81fxdbt40008jknwg,0.978,+,X,0.0095669863,7.0939369686,1.0454749809,0.318085979,6.8400644543,-0.0658481206,0.8612997885,5.4077867027,-1.1761366439,0.51687876,4.4324869137,-0.002632655,0.6368984094,4.6243635077,1.6383202707,0.7888616492,3.5589114059,1.5567008159,0.6007643115,1.2950157776,-1.7440101876,0.427291454,2.3655194562,-1.7906308691,0.329226435,2.8998172871,-0.4717791682,0.1672884579,2.5641476398,0.7819595307,11,3528,45.0,29.0,2922.0,4.0
197,0.97,-0.9446666667,-0.0206666667,0.0186666667,0.0626666667,-0.0106666667,0.0313333333,-0.0306666667,0.384,-0.4046666667,-0.8746666667,0.8706666667,0.0113333333,-0.0533333333,0.884,-0.862,0.426,-0.372,246,crs81fxdbt40008jknwg,0.97,+,X,0.232924526,8.0351007888,0.529960865,0.9576242754,5.5332813702,-0.3375907016,0.8121919825,5.1504776502,0.1264927239,0.7831126223,3.2912475565,0.5699736463,0.1221763745,4.201749022,-1.5926942795,0.5567715233,4.6339193494,-0.1574835341,0.2823486513,1.4138179664,-1.4233811548,0.7506382962,1.6208977297,0.2933068572,0.2723616242,1.5738544417,-1.0564739911,0.8955720453,1.7585511499,0.6297277175,11,3546,48.0,39.0,2907.0,6.0
198,0.9786666667,-0.9593333333,0.0326666667,0.0033333333,0.02,0.0386666667,0.0266666667,0.006,0.816,-0.8053333333,-0.488,0.5093333333,0.026,0.002,0.5386666667,-0.5186666667,0.8286666667,-0.814,264,crs81fxdbt40008jknwg,0.9786666667,+,X,0.4480316354,7.9814951478,0.6212585237,0.0474716866,6.3751920528,0.6164148423,0.3213896574,5.4790236515,-1.1798436209,0.5959276075,4.7764490327,-1.7329774709,0.3571225398,3.5352898782,1.8664245264,0.2851664383,4.6393143722,-1.4451717971,0.6058949271,2.4128709642,1.4539750543,0.3004648466,2.7355960853,-0.8500092471,0.9900159047,1.7631904125,-0.1570485326,0.2070442478,2.7412435913,-1.9186715817,11,3564,36.0,30.0,2932.0,2.0
199,0.9613333333,-0.9493333333,-0.0393333333,0.06,0.116,-0.0873333333,0.0993333333,-0.0373333333,-0.2813333333,0.3246666667,-0.8746666667,0.9186666667,0.076,-0.0606666667,0.9353333333,-0.8926666667,-0.2946666667,0.3013333333,282,crs81fxdbt40008jknwg,0.9613333333,+,X,0.7853331479,7.9779709133,-1.3831119345,0.8163418049,5.3937906228,-0.0119586366,0.9025571418,6.0165710951,-0.9187297843,0.5208036035,3.2763739641,0.5609799828,0.37560433,3.2713848581,0.3218598428,0.0391898381,3.494403155,0.8407240174,0.2356449177,1.2728328687,1.4091764882,0.9547789171,1.6007249923,0.1746953545,0.2398522074,2.2303322334,1.8173827678,0.0195197904,1.3132929128,1.8966815182,11,3582,30.0,49.0,2912.0,9.0
200,0.9606666667,-0.9393333333,-0.0406666667,0.056,0.0886666667,-0.0966666667,0.114,-0.0913333333,-0.1666666667,0.1473333333,-0.9333333333,0.9573333333,0.0886666667,-0.0693333333,0.9626666667,-0.9273333333,-0.1593333333,0.194,0,crs81gedbt40008jknx0,0.9606666667,+,X,0.5252548491,7.3375320583,-0.3892039374,0.7680626637,6.5617924131,-0.396859108,0.9854387182,6.7929162043,0.030212562,0.7944652462,4.0287186072,0.6984904112,0.6499596409,3.88346816,-1.6765085716,0.5203040252,4.6536829232,0.1720371863,0.7563877562,1.2228362398,-1.4151458297,0.9713081657,1.0343284447,1.4616424122,0.9656769471,1.4096911256,1.5354635883,0.0179486719,1.0962216037,-1.5092735849,12,3600,51.0,50.0,2890.0,9.0
201,0.9746666667,-0.9453333333,0.01,0.0613333333,0.0393333333,-0.02,0.074,-0.02,0.1286666667,-0.1413333333,-0.9486666667,0.968,0.0233333333,-0.0066666667,0.9673333333,-0.9406666667,0.134,-0.1153333333,18,crs81gedbt40008jknx0,0.9746666667,+,X,0.8590467424,7.0496351374,-1.8356493613,0.7802711015,5.0789861729,-0.4910625646,0.0753345879,5.0928703724,-1.3706682249,0.4674356285,4.1360357687,-1.1002003253,0.3582770726,4.8366967728,0.4089252186,0.4563329413,4.0042290586,1.1782413265,0.2884066634,1.0451770067,-0.8230285354,0.3366686398,2.6726298922,0.1210209596,0.2363642359,2.0118702717,-1.8331064888,0.2020487486,1.559376534,-0.5199206045,12,3618,40.0,33.0,2922.0,5.0
202,0.958,-0.9366666667,-0.0273333333,0.0653333333,0.1493333333,-0.15,0.1213333333,-0.0773333333,-0.3066666667,0.2946666667,-0.8926666667,0.94,0.0686666667,-0.086,0.926,-0.9066666667,-0.2546666667,0.242,36,crs81gedbt40008jknx0,0.958,+,X,0.7102539249,8.9102870195,-0.2456581474,0.9783238106,5.2163641483,-0.9209839647,0.538031933,6.5810465659,-0.5277047149,0.6547489548,4.9724621091,0.3785923682,0.6364957538,4.6819213584,-0.1539369193,0.0704486319,3.4098705931,0.6500416107,0.5552706938,2.5712610492,-0.3196097392,0.8167515225,2.9315396941,-1.1253187056,0.6935223774,2.9014392107,-1.7924461703,0.8417934723,1.1465846475,-1.0404336311,12,3636,28.0,57.0,2909.0,6.0
203,0.972,-0.954,-0.004,0.048,0.0786666667,-0.0253333333,0.042,-0.01,0.1833333333,-0.1953333333,-0.93,0.9526666667,0.036,-0.0086666667,0.962,-0.9273333333,0.1993333333,-0.198,54,crs81gedbt40008jknx0,0.972,+,X,0.5077489446,7.6218245406,-1.2389611865,0.9450709987,6.0141471253,-0.9738085328,0.6652412042,5.1475795839,-1.2490545026,0.3714681933,4.820957922,0.5631293273,0.0481436253,4.9998593234,-0.2882939401,0.833027465,4.5060757712,-1.4002624043,0.2956842651,2.8172686976,0.3319915214,0.9674728634,1.324648018,1.6947270207,0.4544019793,2.6464521848,1.104571558,0.2490884712,2.0591707677,-0.9026995741,12,3654,42.0,40.0,2916.0,2.0
204,0.976,-0.9446666667,-0.022,0.0433333333,0.0413333333,0.0313333333,0.052,-0.022,0.5473333333,-0.5726666667,-0.7386666667,0.78,0.0133333333,-0.008,0.782,-0.76,0.5966666667,-0.5633333333,72,crs81gedbt40008jknx0,0.976,+,X,0.3830037651,7.152771074,-1.016139261,0.3479625935,5.8206696404,1.821093925,0.8325732626,6.9599431571,-1.2994164382,0.1306659624,3.3753458149,-0.4673090534,0.5477420217,3.7363377263,-0.5788889163,0.5120508992,4.2055344864,1.8843626343,0.3919467248,2.0746274862,0.6970993083,0.5013245041,2.2834791444,-1.8825662276,0.797189305,2.9512222261,0.0211034785,0.2077025674,1.2759719595,-1.3937279053,12,3672,41.0,33.0,2923.0,3.0
205,0.966,-0.9573333333,-0.018,0.0386666667,0.068,0.0186666667,0.052,-0.0333333333,0.5986666667,-0.5513333333,-0.7646666667,0.768,0.0506666667,0.0006666667,0.81,-0.7673333333,0.5566666667,-0.5666666667,90,crs81gedbt40008jknx0,0.966,+,X,0.6188292336,7.4406533965,2.07431e-05,0.570233494,5.9927563401,-1.0031009869,0.1192361841,5.7641690785,-1.5877426817,0.526772249,4.005251018,-1.4825732375,0.4044948086,4.0082109832,-0.2199060544,0.2216983756,3.2229228785,-0.6642416702,0.7720593847,2.2351106781,-1.1824294343,0.6872365255,1.0517845397,1.4311205056,0.0726385073,1.1657194082,-0.0779586195,0.9079846729,2.6603278836,-0.6498330991,12,3690,49.0,47.0,2900.0,4.0
206,0.97,-0.938,0.0433333333,-0.0266666667,0.038,0.0106666667,-0.01,0.026,0.7246666667,-0.6966666667,-0.612,0.6433333333,0.0033333333,0.0093333333,0.6573333333,-0.6073333333,0.7553333333,-0.7146666667,108,crs81gedbt40008jknx0,0.97,+,X,0.0658477324,8.0260132162,0.8340785845,0.9729381359,6.0526305402,-1.3919317723,0.023469959,6.13175523,0.9633629022,0.1703569889,4.7290565556,0.3395671045,0.6502371157,3.4111150023,1.6465526744,0.0495621845,4.0041049238,1.9793000497,0.3165814015,2.8824042798,0.7867750619,0.3722196817,2.6683879888,1.8925007631,0.9885398774,2.1182553961,-1.8334638786,0.3184878838,1.2656853499,-0.4138401302,12,3708,41.0,41.0,2914.0,4.0
